127.0.0.1 - - [23/Apr/2018:11:10:02 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
127.0.0.1 - - [23/Apr/2018:11:10:18 +0200] "GET /LETTA HTTP/1.1" 302 -
127.0.0.1 - - [23/Apr/2018:11:10:18 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:11:10:19 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:11:10:19 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:11:10:19 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:11:10:19 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:11:10:19 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53241
127.0.0.1 - - [23/Apr/2018:11:10:19 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:11:10:22 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:11:10:22 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:11:10:23 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:11:10:23 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:11:10:23 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:11:10:23 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:11:10:23 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:11:10:23 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:11:11:06 +0200] "GET /LETTA/index HTTP/1.1" 404 1009
127.0.0.1 - - [23/Apr/2018:11:11:10 +0200] "GET /LETTA/ HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:11:11:10 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:11:11:10 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:11:11:10 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:11:11:10 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:11:11:10 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:11:11:10 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:11:11:13 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:11:12:10 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:11:12:10 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:11:12:10 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:11:12:10 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:11:12:10 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:11:12:10 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53222
127.0.0.1 - - [23/Apr/2018:11:12:10 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:11:12:13 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:11:12:13 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:11:12:13 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:11:12:14 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:11:12:14 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:11:12:14 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:11:12:14 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:11:12:14 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:12:55:31 +0200] "GET /LETTA/Roboto-Bold.39b2c3031be6b4ea96e2.woff2 HTTP/1.1" 200 49976
127.0.0.1 - - [23/Apr/2018:12:58:34 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:12:58:35 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:12:58:35 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:12:58:35 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:12:58:35 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:12:58:35 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53439
127.0.0.1 - - [23/Apr/2018:12:58:35 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:12:58:38 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:12:58:38 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:12:58:38 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:12:58:38 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:12:58:39 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:12:58:39 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:12:58:39 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:12:58:39 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA HTTP/1.1" 302 -
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53518
127.0.0.1 - - [23/Apr/2018:13:03:05 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:13:03:08 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:13:03:08 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:03:09 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:03:09 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:13:03:09 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:13:03:09 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:13:03:09 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:13:03:09 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:13:05:50 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:13:05:50 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:13:05:50 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:13:05:50 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:13:05:50 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:13:05:50 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53565
127.0.0.1 - - [23/Apr/2018:13:05:50 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:13:05:54 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:13:05:54 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
